# All
"Example","Exemplo"

# Settings table
"Subversion authorization","Autorização do subversion"
"Subversion authorization file","Arquivo de autorização do subversion"
"Data providers","Provedores de datos"
"User authentication","Autenticação de usuários"
"User authentication file (SVNUserFile)","Arquivo de autenticação de usuarios (SVNUserFile)"
"Subversion settings","Opçoes do subversion"
"Parent directory of the repositories (SVNParentPath)","Pasta raíz dos repositórios (SVNParentPath)"
"Subversion client executable","Executável do cliente de subversion 'svn.exe', '/usr/bin/svn'"
"Subversion admin executable","Executável do administrador de subversion 'svnadmin.exe', '/usr/bin/svnadmin'"
"Parent directory of the svn Http server","Parent directory of the svn Http server" 
"Parent directory of the svn Http viewer","Parent directory of the svn Http viewer"
"LDAP connection information","Informação de conexão LDAP"
"Host address","Endereço do host"
"Protocol version","Versão do protocolo"
"LDAP user provider information","Informação do provedor de usuário LDAP"
"LDAP group provider information","Informação do provedor de grupo LDAP"
"Test","Testar"
"Test passed.","Sucesso."
"The file exists but is not writable.","O arquivo existe mas não tem permissão de escrita."
"The file exists but is not executable.","O arquivo existe mas não é executável."
"The file does not exist.","O arquivo não existe."
"The folder exists but is not writable.","A pasta existe mas não tem permissão de escrita."
"The folder does not exist.","A pasta não existe."
"Connection failed:","Falha na conexão:"
"PHP LDAP extension is not available.","A extensão PHP LDAP não está disponível."
"Done.","Feito."
"Invalid request.","Requisição inválida."
"The user has been defined as admin. You can <a href=\"login.php\">login</a> now.","O usuário foi definido como administrador. Você pode <a href=\"login.php\">logar</a> agora."
"Could not save configuration. You should check the file permissions.","Não foi possível salvar a configuração. Verifique as persmissões do arquivo."

# No users, no edit provider
"You have not defined an "UserEditProviderType", but the system also could not find any user from the configured user view provider.","You have not defined an "UserEditProviderType", but the system also could not find any user from the configured user view provider."
"You should now create a new user in your configured backend (e.g.: LDAP/Active Directory).","Agora você deve criar um novo usuário em seu backend configurado (e.g.: LDAP/Active Directory)."
"If you think your configuration is incorrect, <a href="settings.php?firststart=1">click here.</a>","Se você acha que sua configuração está errada, <a href="settings.php?firststart=1">clique aqui.</a>"

# Define administrator
"Could not find existing users with your configuration. Created default Administrator account.","Não foi possível localizar os usuários existentes com esta configuração. Criado conta de administrador padrão."
"You can <a href="login.php"><b>login now.</b></a>","Você pode <a href="login.php"><b>logar agora.</b></a>"
"No administrator defined! Select the user for the administator privileges, please.","Nenhum administrador foi definido! Selecione um usuário para os privilégios administator."
"Save","Salvar"
